Photo,Zone A,Zone B,pattern_energy_diff,Background,Model,Diff100
Eliane_19APR_MSPEC,a1,b1,0.047002635,Selected,Peafowl,4.7002635
Gibbard_23APR_MSPEC,a1,b1,0.697169172,Selected,Peafowl,69.7169172
Gibbard_30APR_MSPEC,a1,b1,0.079139764,Selected,Peafowl,7.9139764
Hank_14MAY22_MSPEC,a1,b1,0.686641023,Selected,Peafowl,68.6641023
Hank_19MAY22_MSPEC,a1,b1,0.0461585,Selected,Peafowl,4.61585
Hank_30JULY22_MSPEC,a1,b1,0.017759007,Selected,Peafowl,1.7759007
Hank_5JUL22_MSPEC,a1,b1,0.041709293,Selected,Peafowl,4.1709293
Hank_9JUL22_MSPEC,a1,b1,0.071230688,Selected,Peafowl,7.1230688
Kurt_14MAY22_MSPEC,a1,b1,0.057310398,Selected,Peafowl,5.7310398
Kurt_30APR22_MSPEC,a1,b1,0.082625424,Selected,Peafowl,8.2625424
Kurt_7MAY22_MSPEC,a1,b1,0.058200629,Selected,Peafowl,5.8200629
Shakey_11JUN22_MSPEC,a1,b1,0.034180848,Selected,Peafowl,3.4180848
Shakey_12APR22_MSPEC,a1,b1,0.175604951,Selected,Peafowl,17.5604951
Shakey_25JUN22_MSPEC,a1,b1,0.096156117,Selected,Peafowl,9.6156117
Shakey_5APR22_MSPEC,a1,b1,0.023360184,Selected,Peafowl,2.3360184
Shakey_7MAY22_MSPEC,a1,b1,0.147829691,Selected,Peafowl,14.7829691
Shania_10JUN22_MSPEC,a1,b1,0.02193713,Selected,Peafowl,2.193713
Ty_4JUN22_MSPEC,a1,b1,0.151916566,Selected,Peafowl,15.1916566
UnIDF_2SEP22,a1,b1,0.037133036,Selected,Peafowl,3.7133036
Willy_21JUN22_MSPEC,a1,b1,0.020455327,Selected,Peafowl,2.0455327
Willy_26APR_MSPEC,a1,b1,0.028766182,Selected,Peafowl,2.8766182
Willy_30APR22_MSPEC,a1,b1,0.058902719,Selected,Peafowl,5.8902719
Willy_4JUN22_MSPEC,a1,b1,0.207076874,Selected,Peafowl,20.7076874
Yvette_16APR22_MSPEC,a1,b1,0.108256787,Selected,Peafowl,10.8256787
Yvette_23APR_MSPEC,a1,b1,0.061810535,Selected,Peafowl,6.1810535
Zoe_11JUN22_MSPEC,a1,b1,0.017089883,Selected,Peafowl,1.7089883
Zoe_12APR_MSPEC,a1,b1,0.123639172,Selected,Peafowl,12.3639172
AliceR_04JUNE_MSPEC,a1,a1,0.043773544,Random,Peafowl,4.3773544
AliceR_21JUNE_MSPEC,a1,a1,0.076642538,Random,Peafowl,7.6642538
AliceR_26APR_MSPEC,a1,a1,0.63302354,Random,Peafowl,63.302354
BowieR_30APR_MSPEC,a1,a1,0.086405739,Random,Peafowl,8.6405739
CATEST19R_14JUNE_MSPEC,a1,a1,0.021804485,Random,Peafowl,2.1804485
DustyR_14JUNE_MSPEC,a1,a1,0.056452017,Random,Peafowl,5.6452017
DustyR_30APR_MSPEC,a1,a1,0.041056955,Random,Peafowl,4.1056955
Dusty_13AUG22,a1,a1,0.038846377,Random,Peafowl,3.8846377
ElCocoR_06MAY_MSPEC,a1,a1,0.022550196,Random,Peafowl,2.2550196
ElCocoR_10JUNE_MSPEC,a1,a1,0.128313769,Random,Peafowl,12.8313769
ElCocoR_14MAY_MSPEC,a1,a1,0.055356347,Random,Peafowl,5.5356347
ElCoco_10JUL22_MSPEC,a1,a1,0.041442193,Random,Peafowl,4.1442193
ElCoco_19SEP22,a1,a1,0.036309155,Random,Peafowl,3.6309155
ElCoco_2SEP22,a1,a1,0.044880528,Random,Peafowl,4.4880528
ElianeR_12APR_MSPEC,a1,a1,0.62013391,Random,Peafowl,62.013391
ElianeR_19APR_MSPEC,a1,a1,0.029038512,Random,Peafowl,2.9038512
GibbardR_23APR_MSPEC,a1,a1,0.7484925,Random,Peafowl,74.84925
GibbardR_30APR_MSPEC,a1,a1,0.055046957,Random,Peafowl,5.5046957
HankR_14MAY_MSPEC,a1,a1,0.243655416,Random,Peafowl,24.3655416
HankR_19MAY_MSPEC,a1,a1,0.11323135,Random,Peafowl,11.323135
Hank_05JULY_MSPEC,a1,a1,0.074802753,Random,Peafowl,7.4802753
Hank_09JULY_MSPEC,a1,a1,0.059316821,Random,Peafowl,5.9316821
Hank_30JUL22_R,a1,a1,0.050381325,Random,Peafowl,5.0381325
KurtR_07MAY_MSPEC,a1,a1,0.086849104,Random,Peafowl,8.6849104
KurtR_14MAY_MSPEC,a1,a1,0.418918059,Random,Peafowl,41.8918059
KurtR_30APRIL_MSPEC,a1,a1,0.059395802,Random,Peafowl,5.9395802
ShakeyR_05APRIL_MSPEC,a1,a1,0.097904657,Random,Peafowl,9.7904657
ShakeyR_07MAY_MSPEC,a1,a1,0.183874376,Random,Peafowl,18.3874376
ShakeyR_11JUNE_MSPEC,a1,a1,0.055245758,Random,Peafowl,5.5245758
ShakeyR_12APRIL_MSPEC,a1,a1,0.085403481,Random,Peafowl,8.5403481
ShakeyR_25JUNE_MSPEC,a1,a1,0.107042439,Random,Peafowl,10.7042439
Shania_10JUN22_MSPEC,a1,a1,0.148515617,Random,Peafowl,14.8515617
TYR_04JUNE_MSPEC,a1,a1,0.411547457,Random,Peafowl,41.1547457
UnIDF_2SEP22,a1,a1,0.038962553,Random,Peafowl,3.8962553
WillyR_04JUNE_MSPEC,a1,a1,0.229565205,Random,Peafowl,22.9565205
WillyR_21JUNE_MSPEC,a1,a1,0.038587132,Random,Peafowl,3.8587132
WillyR_26APR_MSPEC,a1,a1,0.034269028,Random,Peafowl,3.4269028
WillyR_30APRIL_MSPEC,a1,a1,0.133057319,Random,Peafowl,13.3057319
YvetteR_16APRIL_MSPEC,a1,a1,0.057930899,Random,Peafowl,5.7930899
YvetteR_23APR_MSPEC,a1,a1,0.06584522,Random,Peafowl,6.584522
ZoeR_11JUNE_MSPEC,a1,a1,0.088629766,Random,Peafowl,8.8629766
ZoeR_12APR_MSPEC,a1,a1,0.081183497,Random,Peafowl,8.1183497
Alice_21JUN22_MSPEC,a1,b1,0.037740145,Selected,BlueTit,3.7740145
Alice_26APR_MSPEC,a1,b1,0.129209507,Selected,BlueTit,12.9209507
Alice_4JUN22_MSPEC,a1,b1,0.059957712,Selected,BlueTit,5.9957712
Bowie_30APR_MSPEC,a1,b1,0.029240555,Selected,BlueTit,2.9240555
CATEST19_14JUN22_MSPEC,a1,b1,0.018517303,Selected,BlueTit,1.8517303
Dusty_13AUG22,a1,b1,0.033186682,Selected,BlueTit,3.3186682
Dusty_14JUN22_MSPEC,a1,b1,0.016455012,Selected,BlueTit,1.6455012
Dusty_30APR_MSPEC,a1,b1,0.071771429,Selected,BlueTit,7.1771429
ElCoco_10JUL22_MSPEC,a1,b1,0.01806856,Selected,BlueTit,1.806856
