Photo,Zone A,Zone B,JND_diff,Selected_random,Model,JND_Type
Yvette_16APR22_MSPEC,a1,a1,0.175207602,Random,Human,Color
Yvette_23APR_MSPEC,a1,a1,0.241980508,Random,Human,Color
Zoe_11JUN22_MSPEC,a1,a1,1.472961032,Random,Human,Color
Zoe_12APR_MSPEC,a1,a1,0.487019074,Random,Human,Color
Alice_21JUN22_MSPEC,a1,b1,0.150722718,Selected,Human,Luminance
Alice_26APR_MSPEC,a1,b1,2.407398271,Selected,Human,Luminance
Alice_4JUN22_MSPEC,a1,b1,13.8734539,Selected,Human,Luminance
Bowie_30APR_MSPEC,a1,b1,3.045050363,Selected,Human,Luminance
CATEST19_14JUN22_MSPEC,a1,b1,7.41278473,Selected,Human,Luminance
Dusty_13AUG22,a1,b1,0.879173486,Selected,Human,Luminance
Dusty_14JUN22_MSPEC,a1,b1,8.976615396,Selected,Human,Luminance
Dusty_30APR_MSPEC,a1,b1,8.546593111,Selected,Human,Luminance
ElCoco_10JUL22_MSPEC,a1,b1,5.016955493,Selected,Human,Luminance
ElCoco_10JUN22_MSPEC,a1,b1,2.394738425,Selected,Human,Luminance
Elcoco_14MAY22_MSPEC,a1,b1,7.759879914,Selected,Human,Luminance
ElCoco_19SEP22,a1,b1,2.407566531,Selected,Human,Luminance
ElCoco_2SEP22,a1,b1,1.55935204,Selected,Human,Luminance
ElCoco_6MAY22_MSPEC,a1,b1,0.66573807,Selected,Human,Luminance
Eliane_12APR_MSPEC,a1,b1,4.377594903,Selected,Human,Luminance
Eliane_19APR_MSPEC,a1,b1,4.732251142,Selected,Human,Luminance
Gibbard_23APR_MSPEC,a1,b1,6.46786117,Selected,Human,Luminance
Gibbard_30APR_MSPEC,a1,b1,2.796472037,Selected,Human,Luminance
Hank_14MAY22_MSPEC,a1,b1,21.6040276,Selected,Human,Luminance
Hank_19MAY22_MSPEC,a1,b1,8.637743205,Selected,Human,Luminance
Hank_30JULY22_MSPEC,a1,b1,0.152065459,Selected,Human,Luminance
Hank_5JUL22_MSPEC,a1,b1,1.986721749,Selected,Human,Luminance
Hank_9JUL22_MSPEC,a1,b1,0.774330857,Selected,Human,Luminance
Kurt_14MAY22_MSPEC,a1,b1,2.456691347,Selected,Human,Luminance
Kurt_30APR22_MSPEC,a1,b1,3.281016464,Selected,Human,Luminance
Kurt_7MAY22_MSPEC,a1,b1,6.775451128,Selected,Human,Luminance
Shakey_11JUN22_MSPEC,a1,b1,2.134913348,Selected,Human,Luminance
Shakey_12APR22_MSPEC,a1,b1,8.6671144,Selected,Human,Luminance
Shakey_25JUN22_MSPEC,a1,b1,11.78381337,Selected,Human,Luminance
Shakey_5APR22_MSPEC,a1,b1,4.187208868,Selected,Human,Luminance
Shakey_7MAY22_MSPEC,a1,b1,4.713612811,Selected,Human,Luminance
Shania_10JUN22_MSPEC,a1,b1,3.848620653,Selected,Human,Luminance
Ty_4JUN22_MSPEC,a1,b1,2.846593253,Selected,Human,Luminance
UnIDF_2SEP22,a1,b1,10.39475427,Selected,Human,Luminance
Willy_21JUN22_MSPEC,a1,b1,0.0927268,Selected,Human,Luminance
Willy_26APR_MSPEC,a1,b1,5.168656839,Selected,Human,Luminance
Willy_30APR22_MSPEC,a1,b1,6.660954666,Selected,Human,Luminance
Willy_4JUN22_MSPEC,a1,b1,7.64695735,Selected,Human,Luminance
Yvette_16APR22_MSPEC,a1,b1,8.647808688,Selected,Human,Luminance
Yvette_23APR_MSPEC,a1,b1,2.098157891,Selected,Human,Luminance
Zoe_11JUN22_MSPEC,a1,b1,4.745626011,Selected,Human,Luminance
Zoe_12APR_MSPEC,a1,b1,12.24362275,Selected,Human,Luminance
Alice_4JUN22_MSPEC,a1,a1,4.438729189,Random,Human,Luminance
Alice_21JUN22_MSPEC,a1,a1,9.164922332,Random,Human,Luminance
Alice_26APR_MSPEC,a1,a1,14.09015749,Random,Human,Luminance
Bowie_30APR_MSPEC,a1,a1,19.89195839,Random,Human,Luminance
CATEST19_14JUN22_MSPEC,a1,a1,5.39148244,Random,Human,Luminance
Dusty_14JUN22_MSPEC,a1,a1,4.202421337,Random,Human,Luminance
Dusty_30APR_MSPEC,a1,a1,7.510867295,Random,Human,Luminance
Dusty_13AUG22_R,a1,a1,3.227718156,Random,Human,Luminance
ElCoco_6MAY22_MSPEC,a1,a1,10.76052134,Random,Human,Luminance
ElCoco_10JUN22_MSPEC,a1,a1,9.804190828,Random,Human,Luminance
Elcoco_14MAY22_MSPEC,a1,a1,4.943436813,Random,Human,Luminance
ELCoco_10JULY_MSPEC,a1,a1,6.090826302,Random,Human,Luminance
ElCoco_19SEP22_R,a1,a1,9.133649751,Random,Human,Luminance
ElCoco_2SEP22_R,a1,a1,2.162846271,Random,Human,Luminance
Eliane_12APR_MSPEC,a1,a1,22.7258541,Random,Human,Luminance
Eliane_19APR_MSPEC,a1,a1,0.326671089,Random,Human,Luminance
Gibbard_23APR_MSPEC,a1,a1,19.1750998,Random,Human,Luminance
Gibbard_30APR_MSPEC,a1,a1,1.086033044,Random,Human,Luminance
Hank_14MAY22_MSPEC,a1,a1,7.55914212,Random,Human,Luminance
Hank_19MAY22_MSPEC,a1,a1,9.34266951,Random,Human,Luminance
Hank_5JUL22_MSPEC,a1,a1,9.262664724,Random,Human,Luminance
Hank_9JUL22_MSPEC,a1,a1,3.526210929,Random,Human,Luminance
Hank_30JULY22_MSPEC,a1,a1,2.953575564,Random,Human,Luminance
Kurt_7MAY22_MSPEC,a1,a1,3.631415081,Random,Human,Luminance
Kurt_14MAY22_MSPEC,a1,a1,23.17330714,Random,Human,Luminance
Kurt_30APR22_MSPEC,a1,a1,13.57143518,Random,Human,Luminance
Shakey_5APR22_MSPEC,a1,a1,5.515127603,Random,Human,Luminance
Shakey_7MAY22_MSPEC,a1,a1,1.451463142,Random,Human,Luminance
Shakey_11JUN22_MSPEC,a1,a1,3.816319024,Random,Human,Luminance
Shakey_12APR22_MSPEC,a1,a1,15.81916974,Random,Human,Luminance
Shakey_25JUN22_MSPEC,a1,a1,16.71920161,Random,Human,Luminance
Shania_10JUN22_MSPEC,a1,a1,9.271525814,Random,Human,Luminance
Ty_4JUN22_MSPEC,a1,a1,21.55007875,Random,Human,Luminance
UnIDF_2SEP22_R,a1,a1,1.375454526,Random,Human,Luminance
Willy_4JUN22_MSPEC,a1,a1,0.728794476,Random,Human,Luminance
Willy_21JUN22_MSPEC,a1,a1,10.46635654,Random,Human,Luminance
Willy_26APR_MSPEC,a1,a1,0.566102754,Random,Human,Luminance
Willy_30APR22_MSPEC,a1,a1,20.20528453,Random,Human,Luminance
Yvette_16APR22_MSPEC,a1,a1,3.319429781,Random,Human,Luminance
Yvette_23APR_MSPEC,a1,a1,14.42629507,Random,Human,Luminance
Zoe_11JUN22_MSPEC,a1,a1,6.350050197,Random,Human,Luminance
Zoe_12APR_MSPEC,a1,a1,16.80550795,Random,Human,Luminance
Alice_21JUN22_MSPEC,a1,b1,1.643070324,Selected,Peafowl,Color
Alice_26APR_MSPEC,a1,b1,1.870504723,Selected,Peafowl,Color
Alice_4JUN22_MSPEC,a1,b1,2.250305291,Selected,Peafowl,Color
Bowie_30APR_MSPEC,a1,b1,0.556361958,Selected,Peafowl,Color
CATEST19_14JUN22_MSPEC,a1,b1,0.464517011,Selected,Peafowl,Color
Dusty_13AUG22,a1,b1,1.085483919,Selected,Peafowl,Color
Dusty_14JUN22_MSPEC,a1,b1,1.332270586,Selected,Peafowl,Color
